current_path,method,router_prefix,route_path,file,line
/api/v1/tickets/knowledge-base/articles,POST,/tickets,/knowledge-base/articles,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/ticketing.py,330
/api/v1/tickets/knowledge-base/articles,GET,/tickets,/knowledge-base/articles,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/ticketing.py,348
/api/v1/tickets/knowledge-base/articles/{article_id},GET,/tickets,/knowledge-base/articles/{article_id},/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/ticketing.py,378
/api/v1/tickets/tickets,POST,/tickets,/tickets,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/ticketing.py,42
/api/v1/tickets/tickets,GET,/tickets,/tickets,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/ticketing.py,60
/api/v1/tickets/tickets/statistics,GET,/tickets,/tickets/statistics,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/ticketing.py,189
/api/v1/tickets/tickets/{ticket_id},GET,/tickets,/tickets/{ticket_id},/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/ticketing.py,107
/api/v1/tickets/tickets/{ticket_id},PUT,/tickets,/tickets/{ticket_id},/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/ticketing.py,120
/api/v1/tickets/tickets/{ticket_id}/assign,PATCH,/tickets,/tickets/{ticket_id}/assign,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/ticketing.py,166
/api/v1/tickets/tickets/{ticket_id}/field-work,POST,/tickets,/tickets/{ticket_id}/field-work,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/ticketing.py,276
/api/v1/tickets/tickets/{ticket_id}/messages,POST,/tickets,/tickets/{ticket_id}/messages,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/ticketing.py,215
/api/v1/tickets/tickets/{ticket_id}/messages,GET,/tickets,/tickets/{ticket_id}/messages,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/ticketing.py,244
/api/v1/tickets/tickets/{ticket_id}/status,PATCH,/tickets,/tickets/{ticket_id}/status,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/ticketing.py,143
/api/v1/unknown/accounts,POST,/unknown,/accounts,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/billing_enhanced.py,49
/api/v1/unknown/accounts/{account_id},GET,/unknown,/accounts/{account_id},/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/billing_enhanced.py,69
/api/v1/unknown/accounts/{account_id}/balance,GET,/unknown,/accounts/{account_id}/balance,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/billing_enhanced.py,85
/api/v1/unknown/accounts/{account_id}/balance,POST,/unknown,/accounts/{account_id}/balance,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/billing_enhanced.py,101
/api/v1/unknown/accounts/{account_id}/credit-notes,GET,/unknown,/accounts/{account_id}/credit-notes,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/billing_enhanced.py,347
/api/v1/unknown/accounts/{account_id}/invoices,GET,/unknown,/accounts/{account_id}/invoices,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/billing_enhanced.py,177
/api/v1/unknown/accounts/{account_id}/payment-methods,GET,/unknown,/accounts/{account_id}/payment-methods,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/billing_enhanced.py,294
/api/v1/unknown/accounts/{account_id}/payment-plans,GET,/unknown,/accounts/{account_id}/payment-plans,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/billing_enhanced.py,390
/api/v1/unknown/accounts/{account_id}/payments,GET,/unknown,/accounts/{account_id}/payments,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/billing_enhanced.py,248
/api/v1/unknown/accounts/{account_id}/summary,GET,/unknown,/accounts/{account_id}/summary,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/billing_enhanced.py,414
/api/v1/unknown/accounts/{account_id}/transactions,GET,/unknown,/accounts/{account_id}/transactions,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/billing_enhanced.py,482
/api/v1/unknown/alert-effectiveness,GET,/unknown,/alert-effectiveness,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/enhanced_grafana_alerts.py,154
/api/v1/unknown/alert-metrics,GET,/unknown,/alert-metrics,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/enhanced_grafana_alerts.py,128
/api/v1/unknown/alerts,POST,/unknown,/alerts,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/service_management.py,374
/api/v1/unknown/alerts,GET,/unknown,/alerts,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/service_management.py,401
/api/v1/unknown/alerts/{alert_id}/acknowledge,POST,/unknown,/alerts/{alert_id}/acknowledge,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/service_management.py,435
/api/v1/unknown/alerts/{alert_id}/resolve,POST,/unknown,/alerts/{alert_id}/resolve,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/service_management.py,460
/api/v1/unknown/authenticate,POST,/unknown,/authenticate,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/radius_integration.py,30
/api/v1/unknown/create-alert-rules,POST,/unknown,/create-alert-rules,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/enhanced_grafana_alerts.py,33
/api/v1/unknown/create-dashboards,POST,/unknown,/create-dashboards,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/enhanced_grafana_alerts.py,60
/api/v1/unknown/credit-notes,POST,/unknown,/credit-notes,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/billing_enhanced.py,318
/api/v1/unknown/dashboard,GET,/unknown,/dashboard,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/service_management.py,490
/api/v1/unknown/devices,POST,/unknown,/devices,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/network_modular.py,147
/api/v1/unknown/devices,GET,/unknown,/devices,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/network_modular.py,162
